name,lat,lon
Berlin,52.5200,13.4050
Hamburg,53.5511,9.9937
München,48.1351,11.5820
Frankfurt,50.1109,8.6821
Los Angeles,34.0522,-118.2437
San Diego,32.7157,-117.1611
San Francisco,37.7749,-122.4194
Sacramento,38.5816,-121.4944
Portland,45.5152,-122.6784
Seattle,47.6062,-122.3321
Phoenix,33.4484,-112.0740
Denver,39.7392,-104.9903
Houston,29.7604,-95.3698
New Orleans,29.9511,-90.0715
Miami,25.7617,-80.1918
Tampa,27.9506,-82.4572
Tokyo,35.6762,139.6503
Osaka,34.6937,135.5023
Manila,14.5995,120.9842
Jakarta,-6.2088,106.8456
Bangkok,13.7563,100.5018
Sydney,-33.8688,151.2093
Melbourne,-37.8136,144.9631
Brisbane,-27.4698,153.0251
Santiago,-33.4489,-70.6693
Lima,-12.0464,-77.0428
Mexico City,19.4326,-99.1332
Quito,-0.1807,-78.4678
San Jose CR,9.9281,-84.0907
Anchorage,61.2181,-149.9003
Honolulu,21.3099,-157.8581
Wellington,-41.2865,174.7762
Auckland,-36.8485,174.7633
Port-au-Prince,18.5944,-72.3074
Managua,12.1364,-86.2514
