site,year,month,predicted,actual,risk_score,event_count,categories
Berlin,2025,6,0,0,0.0,0,none
Berlin,2025,7,0,0,0.0,0,none
Berlin,2025,8,0,0,0.0,0,none
Berlin,2025,9,0,0,0.0,0,none
Berlin,2025,10,0,0,0.0,0,none
Berlin,2025,11,0,0,0.0,0,none
Berlin,2025,12,0,0,0.0,0,none
Hamburg,2025,6,0,0,0.0,0,none
Hamburg,2025,7,0,1,0.0,1,floods
Hamburg,2025,8,0,0,0.0,0,none
Hamburg,2025,9,0,0,0.0,0,none
Hamburg,2025,10,0,0,0.0,0,none
Hamburg,2025,11,0,0,0.0,0,none
Hamburg,2025,12,0,0,0.0,0,none
München,2025,6,0,1,0.0,1,floods
München,2025,7,0,1,0.0,1,floods
München,2025,8,0,1,0.0,1,floods
München,2025,9,0,0,0.0,0,none
München,2025,10,0,0,0.0,0,none
München,2025,11,0,0,0.0,0,none
München,2025,12,0,0,0.0,0,none
Frankfurt,2025,6,0,0,0.08333333333333333,0,none
Frankfurt,2025,7,0,1,0.08333333333333333,1,floods
Frankfurt,2025,8,0,0,0.08333333333333333,0,none
Frankfurt,2025,9,0,1,0.0,1,floods
Frankfurt,2025,10,0,0,0.0,0,none
Frankfurt,2025,11,0,0,0.0,0,none
Frankfurt,2025,12,0,0,0.0,0,none
Los Angeles,2025,6,1,0,1.0,0,none
Los Angeles,2025,7,1,1,1.0,1,wildfires
Los Angeles,2025,8,1,0,1.0,0,none
Los Angeles,2025,9,0,0,0.08333333333333333,0,none
Los Angeles,2025,10,0,0,0.08333333333333333,0,none
Los Angeles,2025,11,0,0,0.08333333333333333,0,none
Los Angeles,2025,12,0,0,0.0,0,none
San Diego,2025,6,1,0,1.0,0,none
San Diego,2025,7,1,0,1.0,0,none
San Diego,2025,8,1,0,1.0,0,none
San Diego,2025,9,0,0,0.08333333333333333,0,none
San Diego,2025,10,0,0,0.08333333333333333,0,none
San Diego,2025,11,0,0,0.08333333333333333,0,none
San Diego,2025,12,0,0,0.0,0,none
San Francisco,2025,6,1,0,1.0,0,none
San Francisco,2025,7,1,0,1.0,0,none
San Francisco,2025,8,1,0,1.0,0,none
San Francisco,2025,9,0,1,0.08333333333333333,1,wildfires
San Francisco,2025,10,0,0,0.08333333333333333,0,none
San Francisco,2025,11,0,1,0.08333333333333333,1,floods
San Francisco,2025,12,0,0,0.0,0,none
Sacramento,2025,6,1,0,1.0,0,none
Sacramento,2025,7,1,1,1.0,1,wildfires
Sacramento,2025,8,1,0,1.0,0,none
Sacramento,2025,9,0,1,0.08333333333333333,1,wildfires
Sacramento,2025,10,0,0,0.08333333333333333,0,none
Sacramento,2025,11,0,1,0.08333333333333333,1,floods
Sacramento,2025,12,0,0,0.0,0,none
Portland,2025,6,1,0,1.0,0,none
Portland,2025,7,1,1,1.0,2,"wildfires, wildfires"
Portland,2025,8,1,1,1.0,1,wildfires
Portland,2025,9,0,0,0.0,0,none
Portland,2025,10,0,0,0.0,0,none
Portland,2025,11,0,0,0.0,0,none
Portland,2025,12,0,1,0.0,1,floods
Seattle,2025,6,1,0,1.0,0,none
Seattle,2025,7,1,0,1.0,0,none
Seattle,2025,8,1,0,1.0,0,none
Seattle,2025,9,0,1,0.0,2,"wildfires, wildfires"
Seattle,2025,10,0,0,0.0,0,none
Seattle,2025,11,0,0,0.0,0,none
Seattle,2025,12,0,1,0.0,2,"floods, floods"
Phoenix,2025,6,1,0,1.0,0,none
Phoenix,2025,7,1,0,1.0,0,none
Phoenix,2025,8,1,1,1.0,2,"wildfires, wildfires"
Phoenix,2025,9,0,0,0.08333333333333333,0,none
Phoenix,2025,10,0,0,0.08333333333333333,0,none
Phoenix,2025,11,0,0,0.08333333333333333,0,none
Phoenix,2025,12,0,0,0.08333333333333333,0,none
Denver,2025,6,1,0,1.0,0,none
Denver,2025,7,1,0,1.0,0,none
Denver,2025,8,1,0,1.0,0,none
Denver,2025,9,0,0,0.16666666666666666,0,none
Denver,2025,10,0,1,0.16666666666666666,1,wildfires
Denver,2025,11,0,0,0.16666666666666666,0,none
Denver,2025,12,1,0,0.25,0,none
Houston,2025,6,1,0,0.25,0,none
