site_name,target_date,lat,lon,fires_7d_count,fires_30d_count,fire_max_brightness_7d,fire_avg_brightness_7d,fire_max_frp_7d,fire_avg_frp_7d,fires_persistent_days,days_since_last_fire,temp_mean,temp_max,humidity_mean,humidity_min,wind_max,rain_total,dry_days,latitude,longitude,month,season,label,label_meta_detections,label_meta_max_brightness
Bangkok,2024-02-12 00:00:00+00:00,13.7563,100.5018,0,0,0.0,0.0,0.0,0.0,0,999,29.014285714285716,34.3,74.0,36,17.4,1.5,6,13.7563,100.5018,2,0,1,1,334.3
Phoenix,2024-04-01 00:00:00+00:00,33.4484,-112.074,0,0,0.0,0.0,0.0,0.0,0,999,16.52857142857143,28.5,47.0,12,36.0,15.799999999999999,6,33.4484,-112.074,4,1,0,0,0.0
Jakarta,2025-02-10 00:00:00+00:00,-6.2088,106.8456,0,0,0.0,0.0,0.0,0.0,0,999,26.599999999999998,31.7,82.57142857142857,57,15.6,77.7,0,-6.2088,106.8456,2,0,0,0,0.0
San Diego,2024-03-25 00:00:00+00:00,32.7157,-117.1611,0,0,0.0,0.0,0.0,0.0,0,999,14.485714285714286,20.3,77.28571428571429,46,37.4,40.599999999999994,5,32.7157,-117.1611,3,1,0,0,0.0
Los Angeles,2025-08-11 00:00:00+00:00,34.0522,-118.2437,0,0,0.0,0.0,0.0,0.0,0,999,24.400000000000002,38.5,59.857142857142854,17,13.6,0.0,7,34.0522,-118.2437,8,2,0,0,0.0
San Francisco,2024-10-28 00:00:00+00:00,37.7749,-122.4194,1,1,328.9,328.9,43.2,43.2,1,5,15.157142857142858,24.6,75.28571428571429,16,25.8,0.0,7,37.7749,-122.4194,10,3,1,1,335.8
Denver,2024-07-22 00:00:00+00:00,39.7392,-104.9903,0,2,0.0,0.0,0.0,0.0,0,999,22.78571428571429,35.0,49.857142857142854,13,35.0,14.7,2,39.7392,-104.9903,7,2,0,0,0.0
Osaka,2025-02-10 00:00:00+00:00,34.6937,135.5023,0,0,0.0,0.0,0.0,0.0,0,999,2.757142857142857,11.0,58.285714285714285,27,28.1,3.8999999999999995,6,34.6937,135.5023,2,0,0,0,0.0
Santiago,2024-09-02 00:00:00+00:00,-33.4489,-70.6693,0,0,0.0,0.0,0.0,0.0,0,999,11.485714285714286,23.5,67.14285714285714,9,13.8,2.3,6,-33.4489,-70.6693,9,3,0,0,0.0
Anchorage,2024-07-08 00:00:00+00:00,61.2181,-149.9003,0,0,0.0,0.0,0.0,0.0,0,999,15.157142857142857,19.9,63.714285714285715,45,24.9,6.699999999999999,5,61.2181,-149.9003,7,2,0,0,0.0
Managua,2024-09-02 00:00:00+00:00,12.1364,-86.2514,0,0,0.0,0.0,0.0,0.0,0,999,27.71428571428571,33.5,80.14285714285714,54,24.9,36.699999999999996,0,12.1364,-86.2514,9,3,0,0,0.0
Managua,2025-09-15 00:00:00+00:00,12.1364,-86.2514,0,0,0.0,0.0,0.0,0.0,0,999,27.971428571428568,34.9,75.85714285714286,40,24.8,64.19999999999999,2,12.1364,-86.2514,9,3,0,0,0.0
Anchorage,2025-04-14 00:00:00+00:00,61.2181,-149.9003,0,0,0.0,0.0,0.0,0.0,0,999,0.38571428571428573,8.9,73.28571428571429,35,21.1,30.0,2,61.2181,-149.9003,4,1,0,0,0.0
Auckland,2024-04-15 00:00:00+00:00,-36.8485,174.7633,0,0,0.0,0.0,0.0,0.0,0,999,18.314285714285717,22.0,79.14285714285714,51,60.6,41.5,1,-36.8485,174.7633,4,1,0,0,0.0
Brisbane,2025-02-24 00:00:00+00:00,-27.4698,153.0251,0,0,0.0,0.0,0.0,0.0,0,999,24.285714285714285,30.1,65.57142857142857,36,22.5,4.1000000000000005,6,-27.4698,153.0251,2,0,0,0,0.0
Lima,2025-08-18 00:00:00+00:00,-12.0464,-77.0428,0,0,0.0,0.0,0.0,0.0,0,999,16.2,19.4,81.71428571428571,64,18.7,0.0,7,-12.0464,-77.0428,8,2,0,0,0.0
Denver,2024-08-26 00:00:00+00:00,39.7392,-104.9903,0,4,0.0,0.0,0.0,0.0,0,999,23.785714285714285,35.2,47.57142857142857,14,38.4,7.3,3,39.7392,-104.9903,8,2,0,0,0.0
San Francisco,2025-01-13 00:00:00+00:00,37.7749,-122.4194,0,0,0.0,0.0,0.0,0.0,0,999,12.471428571428573,18.5,58.42857142857143,20,29.2,0.0,7,37.7749,-122.4194,1,0,0,0,0.0
Santiago,2025-03-10 00:00:00+00:00,-33.4489,-70.6693,0,0,0.0,0.0,0.0,0.0,0,999,21.37142857142857,31.4,50.285714285714285,15,13.5,0.0,7,-33.4489,-70.6693,3,1,0,0,0.0
Seattle,2025-06-09 00:00:00+00:00,47.6062,-122.3321,0,0,0.0,0.0,0.0,0.0,0,999,18.32857142857143,29.4,58.714285714285715,29,16.5,0.1,7,47.6062,-122.3321,6,2,0,0,0.0
San Diego,2025-03-31 00:00:00+00:00,32.7157,-117.1611,0,0,0.0,0.0,0.0,0.0,0,999,15.014285714285714,22.1,78.0,47,14.7,0.7,7,32.7157,-117.1611,3,1,0,0,0.0
Santiago,2025-10-20 00:00:00+00:00,-33.4489,-70.6693,0,0,0.0,0.0,0.0,0.0,0,999,18.285714285714285,30.4,52.42857142857143,12,12.0,0.0,7,-33.4489,-70.6693,10,3,0,0,0.0
Sacramento,2025-03-03 00:00:00+00:00,38.5816,-121.4944,0,0,0.0,0.0,0.0,0.0,0,999,12.171428571428573,20.0,81.28571428571429,50,18.4,4.1,6,38.5816,-121.4944,3,1,0,0,0.0
München,2025-08-18 00:00:00+00:00,48.1351,11.582,0,0,0.0,0.0,0.0,0.0,0,999,22.857142857142858,33.3,64.85714285714286,20,17.9,9.2,4,48.1351,11.582,8,2,0,0,0.0
Sacramento,2024-12-16 00:00:00+00:00,38.5816,-121.4944,0,1,0.0,0.0,0.0,0.0,0,999,8.471428571428572,15.8,82.14285714285714,35,39.1,53.7,4,38.5816,-121.4944,12,0,0,0,0.0
