site,latitude,longitude,month,season,temp_mean,temp_max,humidity_mean,humidity_min,wind_max,rain_total,dry_days,seasonal_pattern,days_since_last,active_fires_7d,active_fires_3d,fire_max_brightness,fire_avg_brightness,persistent_fires,earthquakes_30d,earthquakes_7d,earthquake_max_mag,earthquake_avg_mag,earthquake_5plus,seismic_trend,event_occurred
Berlin,52.52,13.405,12,0,-0.4024999999999999,3.16,58.291666666666664,24,6.42,0.0,24,0.0,999,2,0,321.29,312.25,0,0,0,0.0,0.0,0,0.0,0
Berlin,52.52,13.405,11,3,-0.4024999999999999,3.16,58.291666666666664,24,6.42,0.0,24,0.0,999,2,0,321.29,312.25,0,0,0,0.0,0.0,0,0.0,0
Berlin,52.52,13.405,10,3,-0.4024999999999999,3.16,58.291666666666664,24,6.42,0.0,24,0.0,999,2,0,321.29,312.25,0,0,0,0.0,0.0,0,0.0,0
Berlin,52.52,13.405,9,3,-0.4024999999999999,3.16,58.291666666666664,24,6.42,0.0,24,0.0,999,2,0,321.29,312.25,0,0,0,0.0,0.0,0,0.0,0
Berlin,52.52,13.405,8,2,-0.4024999999999999,3.16,58.291666666666664,24,6.42,0.0,24,0.0,999,2,0,321.29,312.25,0,0,0,0.0,0.0,0,0.0,0
Berlin,52.52,13.405,7,2,-0.4024999999999999,3.16,58.291666666666664,24,6.42,0.0,24,0.0,999,2,0,321.29,312.25,0,0,0,0.0,0.0,0,0.0,0
Hamburg,53.5511,9.9937,12,0,0.3658333333333333,3.38,69.75,24,5.41,0.0,24,0.0,999,9,0,314.6,306.98555555555555,1,0,0,0.0,0.0,0,0.0,0
Hamburg,53.5511,9.9937,11,3,0.3658333333333333,3.38,69.75,24,5.41,0.0,24,0.0,999,9,0,314.6,306.98555555555555,1,0,0,0.0,0.0,0,0.0,0
Hamburg,53.5511,9.9937,10,3,0.3658333333333333,3.38,69.75,24,5.41,0.0,24,0.0,999,9,0,314.6,306.98555555555555,1,0,0,0.0,0.0,0,0.0,0
Hamburg,53.5511,9.9937,9,3,0.3658333333333333,3.38,69.75,24,5.41,0.0,24,0.0,999,9,0,314.6,306.98555555555555,1,0,0,0.0,0.0,0,0.0,0
Hamburg,53.5511,9.9937,8,2,0.3658333333333333,3.38,69.75,24,5.41,0.0,24,0.00011361054305839582,999,9,0,314.6,306.98555555555555,1,0,0,0.0,0.0,0,0.0,0
Hamburg,53.5511,9.9937,7,2,0.3658333333333333,3.38,69.75,24,5.41,0.0,24,0.00011361054305839582,10,9,0,314.6,306.98555555555555,1,0,0,0.0,0.0,0,0.0,1
München,48.1351,11.582,12,0,-0.2741666666666666,3.74,89.08333333333333,69,7.47,0.0,24,0.0,999,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0
München,48.1351,11.582,11,3,-0.2741666666666666,3.74,89.08333333333333,69,7.47,0.0,24,0.0,999,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0
München,48.1351,11.582,10,3,-0.2741666666666666,3.74,89.08333333333333,69,7.47,0.0,24,0.0,999,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0
München,48.1351,11.582,9,3,-0.2741666666666666,3.74,89.08333333333333,69,7.47,0.0,24,0.0,999,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0
München,48.1351,11.582,8,2,-0.2741666666666666,3.74,89.08333333333333,69,7.47,0.0,24,0.00034083162917518747,8,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,1
München,48.1351,11.582,7,2,-0.2741666666666666,3.74,89.08333333333333,69,7.47,0.0,24,0.00034083162917518747,-22,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,1
Frankfurt,50.1109,8.6821,12,0,1.78125,6.01,66.54166666666667,47,7.2,0.0,24,0.0,999,5,2,329.44,311.75,1,0,0,0.0,0.0,0,0.0,0
Frankfurt,50.1109,8.6821,11,3,1.78125,6.01,66.54166666666667,47,7.2,0.0,24,0.00011361054305839582,999,5,2,329.44,311.75,1,0,0,0.0,0.0,0,0.0,0
Frankfurt,50.1109,8.6821,10,3,1.78125,6.01,66.54166666666667,47,7.2,0.0,24,0.00011361054305839582,999,5,2,329.44,311.75,1,0,0,0.0,0.0,0,0.0,0
Frankfurt,50.1109,8.6821,9,3,1.78125,6.01,66.54166666666667,47,7.2,0.0,24,0.00011361054305839582,14,5,2,329.44,311.75,1,0,0,0.0,0.0,0,0.0,1
Frankfurt,50.1109,8.6821,8,2,1.78125,6.01,66.54166666666667,47,7.2,0.0,24,0.00022722108611679165,-16,5,2,329.44,311.75,1,0,0,0.0,0.0,0,0.0,1
Frankfurt,50.1109,8.6821,7,2,1.78125,6.01,66.54166666666667,47,7.2,0.0,24,0.00022722108611679165,24,5,2,329.44,311.75,1,0,0,0.0,0.0,0,0.0,1
Los Angeles,34.0522,-118.2437,12,0,16.008333333333333,19.88,78.33333333333333,53,8.72,86.12,11,0.0,999,4,0,311.09,303.4575,0,26,7,3.63,2.9104198932846677,0,1.153846153846154,0
Los Angeles,34.0522,-118.2437,11,3,16.008333333333333,19.88,78.33333333333333,53,8.72,86.12,11,0.00011361054305839582,999,4,0,311.09,303.4575,0,26,7,3.63,2.9104198932846677,0,1.153846153846154,0
Los Angeles,34.0522,-118.2437,10,3,16.008333333333333,19.88,78.33333333333333,53,8.72,86.12,11,0.00011361054305839582,999,4,0,311.09,303.4575,0,26,7,3.63,2.9104198932846677,0,1.153846153846154,0
Los Angeles,34.0522,-118.2437,9,3,16.008333333333333,19.88,78.33333333333333,53,8.72,86.12,11,0.00011361054305839582,999,4,0,311.09,303.4575,0,26,7,3.63,2.9104198932846677,0,1.153846153846154,0
Los Angeles,34.0522,-118.2437,8,2,16.008333333333333,19.88,78.33333333333333,53,8.72,86.12,11,0.006703022040445353,999,4,0,311.09,303.4575,0,26,7,3.63,2.9104198932846677,0,1.153846153846154,0
Los Angeles,34.0522,-118.2437,7,2,16.008333333333333,19.88,78.33333333333333,53,8.72,86.12,11,0.006703022040445353,22,4,0,311.09,303.4575,0,26,7,3.63,2.9104198932846677,0,1.153846153846154,1
San Diego,32.7157,-117.1611,12,0,16.84,18.16,83.45833333333333,72,11.19,46.71,16,0.0,999,6,2,336.95,318.4116666666667,0,18,3,3.55091722540136,2.9172731791889643,0,0.7142857142857143,0
San Diego,32.7157,-117.1611,11,3,16.84,18.16,83.45833333333333,72,11.19,46.71,16,0.00011361054305839582,999,6,2,336.95,318.4116666666667,0,18,3,3.55091722540136,2.9172731791889643,0,0.7142857142857143,0
San Diego,32.7157,-117.1611,10,3,16.84,18.16,83.45833333333333,72,11.19,46.71,16,0.00011361054305839582,999,6,2,336.95,318.4116666666667,0,18,3,3.55091722540136,2.9172731791889643,0,0.7142857142857143,0
San Diego,32.7157,-117.1611,9,3,16.84,18.16,83.45833333333333,72,11.19,46.71,16,0.00011361054305839582,999,6,2,336.95,318.4116666666667,0,18,3,3.55091722540136,2.9172731791889643,0,0.7142857142857143,0
San Diego,32.7157,-117.1611,8,2,16.84,18.16,83.45833333333333,72,11.19,46.71,16,0.006703022040445353,999,6,2,336.95,318.4116666666667,0,18,3,3.55091722540136,2.9172731791889643,0,0.7142857142857143,0
San Diego,32.7157,-117.1611,7,2,16.84,18.16,83.45833333333333,72,11.19,46.71,16,0.006703022040445353,999,6,2,336.95,318.4116666666667,0,18,3,3.55091722540136,2.9172731791889643,0,0.7142857142857143,0
San Francisco,37.7749,-122.4194,12,0,13.761249999999999,15.81,80.95833333333333,64,16.03,41.51,6,0.0,999,2,0,311.27,307.45,0,57,15,4.04,3.082280701754386,0,1.1278195488721805,0
San Francisco,37.7749,-122.4194,11,3,13.761249999999999,15.81,80.95833333333333,64,16.03,41.51,6,0.00034083162917518747,7,2,0,311.27,307.45,0,57,15,4.04,3.082280701754386,0,1.1278195488721805,1
San Francisco,37.7749,-122.4194,10,3,13.761249999999999,15.81,80.95833333333333,64,16.03,41.51,6,0.00034083162917518747,-23,2,0,311.27,307.45,0,57,15,4.04,3.082280701754386,0,1.1278195488721805,1
San Francisco,37.7749,-122.4194,9,3,13.761249999999999,15.81,80.95833333333333,64,16.03,41.51,6,0.00034083162917518747,-2,2,0,311.27,307.45,0,57,15,4.04,3.082280701754386,0,1.1278195488721805,1
San Francisco,37.7749,-122.4194,8,2,13.761249999999999,15.81,80.95833333333333,64,16.03,41.51,6,0.018632129061576914,999,2,0,311.27,307.45,0,57,15,4.04,3.082280701754386,0,1.1278195488721805,0
San Francisco,37.7749,-122.4194,7,2,13.761249999999999,15.81,80.95833333333333,64,16.03,41.51,6,0.018632129061576914,999,2,0,311.27,307.45,0,57,15,4.04,3.082280701754386,0,1.1278195488721805,0
Sacramento,38.5816,-121.4944,12,0,14.04625,16.71,80.58333333333333,60,11.44,37.209999999999994,8,0.0,999,13,0,326.77,308.4538461538462,0,55,14,4.04,3.0785454545454543,0,1.090909090909091,0
Sacramento,38.5816,-121.4944,11,3,14.04625,16.71,80.58333333333333,60,11.44,37.209999999999994,8,0.00034083162917518747,7,13,0,326.77,308.4538461538462,0,55,14,4.04,3.0785454545454543,0,1.090909090909091,1
Sacramento,38.5816,-121.4944,10,3,14.04625,16.71,80.58333333333333,60,11.44,37.209999999999994,8,0.00034083162917518747,-23,13,0,326.77,308.4538461538462,0,55,14,4.04,3.0785454545454543,0,1.090909090909091,1
Sacramento,38.5816,-121.4944,9,3,14.04625,16.71,80.58333333333333,60,11.44,37.209999999999994,8,0.00034083162917518747,-2,13,0,326.77,308.4538461538462,0,55,14,4.04,3.0785454545454543,0,1.090909090909091,1
Sacramento,38.5816,-121.4944,8,2,14.04625,16.71,80.58333333333333,60,11.44,37.209999999999994,8,0.022949329697795954,999,13,0,326.77,308.4538461538462,0,55,14,4.04,3.0785454545454543,0,1.090909090909091,0
Sacramento,38.5816,-121.4944,7,2,14.04625,16.71,80.58333333333333,60,11.44,37.209999999999994,8,0.022949329697795954,0,13,0,326.77,308.4538461538462,0,55,14,4.04,3.0785454545454543,0,1.090909090909091,1
Portland,45.5152,-122.6784,12,0,5.954166666666666,8.16,88.41666666666667,76,6.49,13.120000000000001,9,0.00011361054305839582,12,2,0,324.66,315.615,0,3,2,3.18,2.783333333333333,0,2.8571428571428568,1
Portland,45.5152,-122.6784,11,3,5.954166666666666,8.16,88.41666666666667,76,6.49,13.120000000000001,9,0.0,-18,2,0,324.66,315.615,0,3,2,3.18,2.783333333333333,0,2.8571428571428568,1
Portland,45.5152,-122.6784,10,3,5.954166666666666,8.16,88.41666666666667,76,6.49,13.120000000000001,9,0.0,999,2,0,324.66,315.615,0,3,2,3.18,2.783333333333333,0,2.8571428571428568,0
Portland,45.5152,-122.6784,9,3,5.954166666666666,8.16,88.41666666666667,76,6.49,13.120000000000001,9,0.0,999,2,0,324.66,315.615,0,3,2,3.18,2.783333333333333,0,2.8571428571428568,0
Portland,45.5152,-122.6784,8,2,5.954166666666666,8.16,88.41666666666667,76,6.49,13.120000000000001,9,0.002499431947284708,0,2,0,324.66,315.615,0,3,2,3.18,2.783333333333333,0,2.8571428571428568,1
Portland,45.5152,-122.6784,7,2,5.954166666666666,8.16,88.41666666666667,76,6.49,13.120000000000001,9,0.002499431947284708,-30,2,0,324.66,315.615,0,3,2,3.18,2.783333333333333,0,2.8571428571428568,1
Seattle,47.6062,-122.3321,12,0,5.2675,8.53,83.66666666666667,60,7.27,12.149999999999999,14,0.00022722108611679165,12,0,0,0.0,0.0,0,4,4,2.94,2.6775,0,4.285714285714286,1
Seattle,47.6062,-122.3321,11,3,5.2675,8.53,83.66666666666667,60,7.27,12.149999999999999,14,0.00022722108611679165,-18,0,0,0.0,0.0,0,4,4,2.94,2.6775,0,4.285714285714286,1
Seattle,47.6062,-122.3321,10,3,5.2675,8.53,83.66666666666667,60,7.27,12.149999999999999,14,0.00022722108611679165,999,0,0,0.0,0.0,0,4,4,2.94,2.6775,0,4.285714285714286,0
Seattle,47.6062,-122.3321,9,3,5.2675,8.53,83.66666666666667,60,7.27,12.149999999999999,14,0.00022722108611679165,7,0,0,0.0,0.0,0,4,4,2.94,2.6775,0,4.285714285714286,1
Seattle,47.6062,-122.3321,8,2,5.2675,8.53,83.66666666666667,60,7.27,12.149999999999999,14,0.0017041581458759373,-23,0,0,0.0,0.0,0,4,4,2.94,2.6775,0,4.285714285714286,1
Seattle,47.6062,-122.3321,7,2,5.2675,8.53,83.66666666666667,60,7.27,12.149999999999999,14,0.0017041581458759373,999,0,0,0.0,0.0,0,4,4,2.94,2.6775,0,4.285714285714286,0
Phoenix,33.4484,-112.074,12,0,20.22458333333333,25.43,41.541666666666664,16,5.91,3.99,19,0.0,999,10,2,324.3,309.742,2,0,0,0.0,0.0,0,0.0,0
Phoenix,33.4484,-112.074,11,3,20.22458333333333,25.43,41.541666666666664,16,5.91,3.99,19,0.00022722108611679165,999,10,2,324.3,309.742,2,0,0,0.0,0.0,0,0.0,0
Phoenix,33.4484,-112.074,10,3,20.22458333333333,25.43,41.541666666666664,16,5.91,3.99,19,0.00022722108611679165,999,10,2,324.3,309.742,2,0,0,0.0,0.0,0,0.0,0
Phoenix,33.4484,-112.074,9,3,20.22458333333333,25.43,41.541666666666664,16,5.91,3.99,19,0.00022722108611679165,999,10,2,324.3,309.742,2,0,0,0.0,0.0,0,0.0,0
Phoenix,33.4484,-112.074,8,2,20.22458333333333,25.43,41.541666666666664,16,5.91,3.99,19,0.007271074755737333,14,10,2,324.3,309.742,2,0,0,0.0,0.0,0,0.0,1
Phoenix,33.4484,-112.074,7,2,20.22458333333333,25.43,41.541666666666664,16,5.91,3.99,19,0.007271074755737333,-16,10,2,324.3,309.742,2,0,0,0.0,0.0,0,0.0,1
Denver,39.7392,-104.9903,12,0,10.883333333333333,16.84,25.083333333333332,12,3.02,0.0,24,0.00034083162917518747,999,4,0,342.77,331.9525,0,1,0,2.7,2.7,0,0.0,0
Denver,39.7392,-104.9903,11,3,10.883333333333333,16.84,25.083333333333332,12,3.02,0.0,24,0.00034083162917518747,25,4,0,342.77,331.9525,0,1,0,2.7,2.7,0,0.0,1
Denver,39.7392,-104.9903,10,3,10.883333333333333,16.84,25.083333333333332,12,3.02,0.0,24,0.00034083162917518747,-5,4,0,342.77,331.9525,0,1,0,2.7,2.7,0,0.0,1
