site_name,site_lat,site_lon,forecast_risk,dominant_category,wildfire_weather_risk,wildfire_historical,wildfire_combined,wildfire_reason,storm_weather_risk,storm_historical,storm_combined,storm_reason,flood_weather_risk,flood_historical,flood_combined,flood_reason,total_events,risk_level
Bangkok,13.7563,100.5018,0.15066236111111111,wildfire,0.21523194444444446,0.0,0.15066236111111111,0 wildfires in Winter months (historical: 0 total),0.0,0.0,0.0,0 storms in Winter months (historical: 0 total),0.0,0.16666666666666666,0.03333333333333333,2 floods in Winter months,6,LOW
Tampa,27.9506,-82.4572,0.1226588888888889,wildfire,0.028323611111111115,0.5,0.1226588888888889,6 wildfires in Winter months,0.0,0.0,0.0,0 storms in Winter months (historical: 4 total),0.0,0.0,0.0,0 floods in Winter months (historical: 1 total),27,LOW
Santiago,-33.4489,-70.6693,0.11150183333333333,wildfire,0.15928833333333334,0.0,0.11150183333333333,0 wildfires in Winter months (historical: 0 total),0.0,0.0,0.0,0 storms in Winter months (historical: 0 total),0.0,0.0,0.0,0 floods in Winter months (historical: 1 total),1,LOW
New Orleans,29.9511,-90.0715,0.09299111111111112,wildfire,0.01207222222222222,0.4166666666666667,0.09299111111111112,5 wildfires in Winter months,0.0,0.0,0.0,0 storms in Winter months (historical: 2 total),0.0,0.0,0.0,0 floods in Winter months (historical: 0 total),14,LOW
Miami,25.7617,-80.1918,0.08596355555555557,wildfire,0.08662111111111113,0.08333333333333333,0.08596355555555557,1 wildfires in Winter months,0.0,0.0,0.0,0 storms in Winter months (historical: 0 total),0.0,0.0,0.0,0 floods in Winter months (historical: 0 total),4,LOW
Jakarta,-6.2088,106.8456,0.0858938888888889,wildfire,0.12270555555555557,0.0,0.0858938888888889,0 wildfires in Winter months (historical: 0 total),0.0,0.0,0.0,0 storms in Winter months (historical: 0 total),0.0,0.08333333333333333,0.016666666666666666,1 floods in Winter months,3,LOW
Houston,29.7604,-95.3698,0.07670666666666667,wildfire,0.033383333333333334,0.25,0.07670666666666667,3 wildfires in Winter months,0.0,0.0,0.0,0 storms in Winter months (historical: 3 total),0.0,0.0,0.0,0 floods in Winter months (historical: 0 total),7,LOW
Managua,12.1364,-86.2514,0.07656733333333333,wildfire,0.09570916666666666,0.0,0.07656733333333333,0 wildfires in Winter months (historical: 0 total),0.0,0.0,0.0,0 storms in Winter months (historical: 0 total),0.0,0.0,0.0,0 floods in Winter months (historical: 2 total),5,LOW
Manila,14.5995,120.9842,0.07608000000000001,wildfire,0.0951,0.0,0.07608000000000001,0 wildfires in Winter months (historical: 0 total),0.0,0.0,0.0,0 storms in Winter months (historical: 9 total),0.0,0.0,0.0,0 floods in Winter months (historical: 2 total),12,LOW
Wellington,-41.2865,174.7762,0.07435000000000001,wildfire,0.0929375,0.0,0.07435000000000001,0 wildfires in Winter months (historical: 0 total),0.01546555555555556,0.0,0.01237244444444445,0 storms in Winter months (historical: 0 total),0.0,0.0,0.0,0 floods in Winter months (historical: 1 total),1,LOW
Phoenix,33.4484,-112.074,0.07378444444444444,wildfire,0.07139722222222222,0.08333333333333333,0.07378444444444444,1 wildfires in Winter months,0.0,0.0,0.0,0 storms in Winter months (historical: 0 total),0.0,0.0,0.0,0 floods in Winter months (historical: 0 total),143,LOW
Brisbane,-27.4698,153.0251,0.07211186111111112,wildfire,0.10301694444444447,0.0,0.07211186111111112,0 wildfires in Winter months (historical: 0 total),0.02455833333333333,0.0,0.019646666666666666,0 storms in Winter months (historical: 6 total),0.0,0.0,0.0,0 floods in Winter months (historical: 1 total),7,LOW
Honolulu,21.3099,-157.8581,0.07037158333333333,wildfire,0.10053083333333335,0.0,0.07037158333333333,0 wildfires in Winter months (historical: 0 total),0.0,0.0,0.0,0 storms in Winter months (historical: 2 total),0.0,0.0,0.0,0 floods in Winter months (historical: 0 total),2,LOW
Sydney,-33.8688,151.2093,0.055202888888888885,wildfire,0.04817027777777778,0.08333333333333333,0.055202888888888885,1 wildfires in Winter months,0.0,0.0,0.0,0 storms in Winter months (historical: 0 total),0.0,0.0,0.0,0 floods in Winter months (historical: 5 total),7,LOW
Denver,39.7392,-104.9903,0.05,wildfire,0.0,0.25,0.05,3 wildfires in Winter months,0.0,0.0,0.0,0 storms in Winter months (historical: 0 total),0.0,0.0,0.0,0 floods in Winter months (historical: 0 total),37,LOW
Port-au-Prince,18.5944,-72.3074,0.04940888888888889,wildfire,0.06176111111111111,0.0,0.04940888888888889,0 wildfires in Winter months (historical: 0 total),0.0,0.0,0.0,0 storms in Winter months (historical: 0 total),0.0,0.0,0.0,0 floods in Winter months (historical: 4 total),4,LOW
Seattle,47.6062,-122.3321,0.03333333333333333,flood,0.0,0.0,0.0,0 wildfires in Winter months (historical: 30 total),0.0,0.0,0.0,0 storms in Winter months (historical: 0 total),0.0,0.16666666666666666,0.03333333333333333,2 floods in Winter months,32,LOW
San Francisco,37.7749,-122.4194,0.03228533333333334,wildfire,0.04035666666666667,0.0,0.03228533333333334,0 wildfires in Winter months (historical: 179 total),0.032524444444444446,0.0,0.02601955555555556,0 storms in Winter months (historical: 0 total),0.0,0.0,0.0,0 floods in Winter months (historical: 1 total),180,LOW
San Jose CR,9.9281,-84.0907,0.02817777777777778,wildfire,0.035222222222222224,0.0,0.02817777777777778,0 wildfires in Winter months (historical: 0 total),0.0,0.0,0.0,0 storms in Winter months (historical: 0 total),0.0,0.0,0.0,0 floods in Winter months (historical: 5 total),7,LOW
